unique_id,core_id,citing_title,citing_author,cited_title,cited_author,citation_context,citation_class_label
0,W01-0706,a holistic lexiconbased approach to opinion mining,,three generative lexicalised models for statistical parsing,['M Collins'],"Thus , over the past few years , along with advances in the use of learning and statistical methods for acquisition of full parsers ( Collins , 1997 ; Charniak , 1997a ; Charniak , 1997b ; Ratnaparkhi , 1997 ) , significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship ( Church , 1988 ; Ramshaw and Marcus , 1995 ; Argamon et al. , 1998 ; Cardie and Pierce , 1998 ; Munoz et al. , 1999 ; Punyakanok and Roth , 2001 ; Buchholz et al. , 1999 ; Tjong Kim Sang and Buchholz , 2000 ) .",0
1,K15-1001,a holistic lexiconbased approach to opinion mining,,minimum error rate training in statistical machine translation,['Franz Josef Och'],"This was done by MERT optimization ( Och , 2003 ) towards post-edits under the TER target metric .",2
2,J05-3003,a holistic lexiconbased approach to opinion mining,,duden—das stilworterbuch duden—the style dictionary,['editor Dudenredaktion'],"She evaluates 3,000 German verbs with a token frequency between 10 and 2,000 against the Duden ( Dudenredaktion 2001 ) .",0
3,J07-1005,a holistic lexiconbased approach to opinion mining,,the wellbuilt clinical question a key to evidencebased decisions,"['W Scott Richardson', 'Mark C Wilson', 'James Nishikawa', 'Robert S Hayward']",The following four components have been identified as the key elements of a question related to patient care ( Richardson et al. 1995 ) :,0
4,J05-3003,a holistic lexiconbased approach to opinion mining,,automatic extraction of subcategorization from corpora,"['Edward Briscoe', 'John Carroll']","Briscoe and Carroll ( 1997 ) report on manually analyzing an open-class vocabulary of 35,000 head words for predicate subcategorization information and comparing the results against the subcategorization details in COMLEX .",4
5,E03-1005,a holistic lexiconbased approach to opinion mining,,a maximumentropyinspired parser,['E Charniak'],This is roughly an 11 % relative reduction in error rate over Charniak ( 2000 ) and Bods PCFG-reduction reported in Table 1 .,4
6,P10-2059,a holistic lexiconbased approach to opinion mining,,contextual recognition of head gestures,"['Louis-Philippe Morency', 'Candace Sidner', 'Christopher Lee', 'Trevor Darrell']","Finally , feedback expressions ( head nods and shakes ) are successfully predicted from speech , prosody and eye gaze in interaction with Embodied Communication Agents as well as human communication ( Fujie et al. , 2004 ; Morency et al. , 2005 ; Morency et al. , 2007 ; Morency et al. , 2009 ) .",0
7,J13-1008,a holistic lexiconbased approach to opinion mining,,a corpus for modeling morphosyntactic agreement in arabic gender number and rationality,"['Sarah Alkuhlani', 'Nizar Habash']","We use the agreement checker code developed by Alkuhlani and Habash ( 2011 ) and evaluate our baseline ( MaltParser using only CORE12 ) , best performing model ( Easy-First Parser using CORE12 + DET+LMM+PERSON+FN * NGR g + p ) , and the gold reference .",2
8,P10-4003,a holistic lexiconbased approach to opinion mining,,linking semantic and knowledge representations in a multidomain dialogue system,"['Myroslava O Dzikovska', 'James F Allen', 'Mary D Swift']","The diagnoser , based on Dzikovska et al. ( 2008b ) , outputs a diagnosis which consists of lists of correct , contradictory and non-mentioned objects and relations from the student 's answer .",1
9,J97-4003,a holistic lexiconbased approach to opinion mining,,towards a semantics for lexical rules as used in hpsg,['Detmar Meurers'],The formalization of DLRs provided by Meurers ( 1995 ) defines a formal lexical rule specification language and provides a semantics for that language in two steps : A rewrite system enriches the lexical rule specification into a fully explicit description of the kind shown in Figure 1 .,0
